Category,Group,Reads newspaper or magazine at least once a week,Watches television at least once a week,Listens to the radio at least once a week,Visits the cinema/theatre at least once a month,Not regularly exposed to any media,Sample size
Residence,Urban,25.0,69.8,6.1,17.4,23.2,235279
Residence,Rural,9.4,45.6,3.3,5.7,49.9,488836
