Category,Group,Reads newspaper or magazine at least once a week,Watches television at least once a week,Listens to the radio at least once a week,Visits the cinema/theatre at least once a month,Not regularly exposed to any media,Sample size
Marital status,Never married,20.8,56.8,5.5,12.6,35.7,172075
Marital status,Currently married,12.7,52.6,3.8,8.8,42.8,521352
Marital status,Widowed/divorced/separated/deserted,9.4,50.1,3.3,4.8,45.8,30688
