Category,Group,Reads newspaper or magazine at least once a week,Watches television at least once a week,Listens to the radio at least once a week,Visits the cinema/theatre at least once a month,Not regularly exposed to any media,Sample size
Caste/tribe,Scheduled caste,10.5,52.2,3.6,7.9,43.4,158483
Caste/tribe,Scheduled tribe,8.5,39.5,3.1,5.9,56.1,67263
Caste/tribe,Other backward class,14.8,54.4,4.2,9.5,40.3,310783
Caste/tribe,Other,19.8,58.6,5.0,12.5,35.1,182474
Caste/tribe,Don't know,6.5,42.3,3.8,4.8,54.3,5112
