Category,Group,Reads newspaper or magazine at least once a week,Watches television at least once a week,Listens to the radio at least once a week,Visits the cinema/theatre at least once a month,Not regularly exposed to any media,Sample size
Religion,Hindu,14.6,55.1,4.2,10.0,39.8,589164
Religion,Muslim,11.0,41.6,3.8,5.7,52.7,97595
Religion,Christian,27.2,63.3,5.5,11.9,29.9,16995
Religion,Sikh,12.7,60.6,2.8,8.0,34.3,11404
Religion,Buddhist/Neo-Buddhist,18.9,57.6,6.5,15.1,33.4,4571
Religion,Jain,40.3,75.7,5.2,36.9,11.4,1632
Religion,Other,11.2,29.1,6.4,5.9,65.0,2754
